Time,N0,Temperature,Aw,pH,Category,Name,Organism,Predict
240.0,4.0,0.0,0.94,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0064092
240.0,4.0,0.0,0.95,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.8055224
240.0,4.0,0.0,0.96,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.7160981
240.0,4.0,0.0,0.97,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0855753
240.0,4.0,0.0,0.98,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1198688
240.0,4.0,0.0,0.99,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.4609487
240.0,4.0,2.5,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1429877
240.0,4.0,2.5,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.089016
240.0,4.0,2.5,0.92,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.102399
240.0,4.0,2.5,0.93,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.2534447
240.0,4.0,2.5,0.94,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0437753
240.0,4.0,2.5,0.95,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.8562773
240.0,4.0,2.5,0.96,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.7727494
240.0,4.0,2.5,0.97,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.063473
240.0,4.0,2.5,0.98,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1168444
240.0,4.0,2.5,0.99,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.4163817
240.0,4.0,5.0,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.228166
240.0,4.0,5.0,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1523068
240.0,4.0,5.0,0.92,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1681335
240.0,4.0,5.0,0.93,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.3087788
240.0,4.0,5.0,0.94,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0483017
240.0,4.0,5.0,0.95,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.8169744
240.0,4.0,5.0,0.96,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.6921678
240.0,4.0,5.0,0.97,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.8423275
240.0,4.0,5.0,0.98,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.8082238
240.0,4.0,5.0,0.99,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.0010697
240.0,4.0,7.5,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1023555
240.0,4.0,7.5,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.9980139
240.0,4.0,7.5,0.92,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.025019
240.0,4.0,7.5,0.93,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1975284
240.0,4.0,7.5,0.94,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.9362923
240.0,4.0,7.5,0.95,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.6709623
240.0,4.0,7.5,0.96,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.5132024
240.0,4.0,7.5,0.97,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.6522512
240.0,4.0,7.5,0.98,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.5871753
240.0,4.0,7.5,0.99,4.5,Culture medium,Broth,Aeromonas hydrophila,-0.8201501
240.0,4.0,10.0,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1871486
240.0,4.0,10.0,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.9035002
240.0,4.0,10.0,0.92,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.9019183
240.0,4.0,10.0,0.93,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0604873
240.0,4.0,10.0,0.94,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.7824944
240.0,4.0,10.0,0.95,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.4569255
240.0,4.0,10.0,0.96,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.2367429
240.0,4.0,10.0,0.97,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.2582064
240.0,4.0,10.0,0.98,4.5,Culture medium,Broth,Aeromonas hydrophila,-0.9732427
240.0,4.0,10.0,0.99,4.5,Culture medium,Broth,Aeromonas hydrophila,-0.07041558
